BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,LicenceStatus,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cars,FERRARI,FERRARI 296,296 GTB S-A,2023,2023,Licensed,248,[z],[z],[z],[z],[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 296,296 GTB S-A,2023,2023,SORN,13,[z],[z],[z],[z],[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 296,296 GTB S-A,2022,2022,Licensed,89,135,[z],[z],[z],[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 296,296 GTB S-A,2022,2022,SORN,18,0,[z],[z],[z],[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 296,296 GTS S-A,2023,2023,Licensed,110,[z],[z],[z],[z],[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 296,296 GTS S-A,2023,2023,SORN,2,[z],[z],[z],[z],[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 360,360 MODENA,[x],2005,SORN,1,0,0,0,0,0,0,0,0,0
Cars,FERRARI,FERRARI 360,360 MODENA,[x],2004,Licensed,3,4,6,4,4,4,5,5,4,3
Cars,FERRARI,FERRARI 360,360 MODENA,[x],2004,SORN,4,5,3,3,3,3,3,3,2,1
Cars,FERRARI,FERRARI 360,360 MODENA,[x],2003,Licensed,3,4,4,6,5,6,6,6,6,4
Cars,FERRARI,FERRARI 360,360 MODENA,[x],2003,SORN,5,4,3,2,3,1,0,0,0,0
Cars,FERRARI,FERRARI 360,360 MODENA,[x],2002,Licensed,7,5,3,4,5,5,4,6,4,1
Cars,FERRARI,FERRARI 360,360 MODENA,[x],2002,SORN,2,2,3,3,3,3,4,1,1,3
Cars,FERRARI,FERRARI 360,360 MODENA,[x],2001,Licensed,2,2,3,1,2,4,3,5,4,4
Cars,FERRARI,FERRARI 360,360 MODENA,[x],2001,SORN,5,5,4,5,4,3,3,1,2,1
Cars,FERRARI,FERRARI 360,360 MODENA,[x],2000,Licensed,5,8,9,10,9,14,15,12,14,15
Cars,FERRARI,FERRARI 360,360 MODENA,[x],2000,SORN,15,14,15,14,16,11,9,7,3,1
Cars,FERRARI,FERRARI 360,360 MODENA,[x],1999,Licensed,5,7,9,7,8,3,6,7,5,3
Cars,FERRARI,FERRARI 360,360 MODENA,[x],1999,SORN,10,7,4,5,3,6,4,3,4,3
Cars,FERRARI,FERRARI 360,360 MODENA,2005,2005,Licensed,22,24,19,19,20,20,23,23,25,22
Cars,FERRARI,FERRARI 360,360 MODENA,2005,2005,SORN,17,12,15,18,14,17,13,13,12,11
Cars,FERRARI,FERRARI 360,360 MODENA,2004,2004,Licensed,71,73,73,68,72,80,83,84,92,97
Cars,FERRARI,FERRARI 360,360 MODENA,2004,2004,SORN,47,48,47,55,47,44,43,36,25,22
Cars,FERRARI,FERRARI 360,360 MODENA,2004,1999,Licensed,1,1,1,1,0,0,0,0,0,1
