BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,LicenceStatus,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Motorcycles,DUCATI,DUCATI DIAVEL,DIAVEL 1260 LAMBORGHINI,2021,2021,Licensed,7,7,7,[z],[z],[z],[z],[z],[z],[z]
Motorcycles,DUCATI,DUCATI DIAVEL,DIAVEL 1260 LAMBORGHINI,2021,2021,SORN,7,7,9,[z],[z],[z],[z],[z],[z],[z]
Motorcycles,DUCATI,DUCATI STREETFIGHTER,STREETFIGHTER V4 LAMBORGHINI,2023,2023,Licensed,20,[z],[z],[z],[z],[z],[z],[z],[z],[z]
Motorcycles,DUCATI,DUCATI STREETFIGHTER,STREETFIGHTER V4 LAMBORGHINI,2023,2023,SORN,10,[z],[z],[z],[z],[z],[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR LP 700-4 ROADSTER SA,[x],2015,Licensed,1,0,1,1,1,1,1,1,0,[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR LP 700-4 ROADSTER SA,[x],2015,SORN,0,1,0,0,0,0,0,0,0,[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR LP 700-4 ROADSTER SA,[x],2013,Licensed,0,0,0,1,1,1,1,1,1,0
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR LP 700-4 ROADSTER SA,[x],2013,SORN,1,1,1,0,0,0,0,0,0,0
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR LP 700-4 ROADSTER SA,2018,2018,Licensed,1,1,1,2,2,2,[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR LP 700-4 ROADSTER SA,2018,2018,SORN,1,1,0,0,0,0,[z],[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR LP 700-4 ROADSTER SA,2017,2017,Licensed,0,1,1,1,0,0,1,[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR LP 700-4 ROADSTER SA,2017,2017,SORN,1,0,0,0,1,1,0,[z],[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR LP 700-4 ROADSTER SA,2016,2016,Licensed,2,2,3,3,3,3,3,3,[z],[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR LP 700-4 ROADSTER SA,2015,2015,Licensed,9,11,10,10,11,12,15,14,15,[z]
Cars,LAMBORGHINI,LAMBORGHINI AVENTADOR,AVENTADOR LP 700-4 ROADSTER SA,2015,2015,SORN,3,3,3,1,2,1,1,1,0,[z]
