BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,LicenceStatus,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cars,MCLAREN,MCLAREN 540C,540C COUPE S-A,[x],2017,Licensed,1,1,0,1,0,0,0,[z],[z],[z]
Cars,MCLAREN,MCLAREN 540C,540C COUPE S-A,[x],2017,SORN,0,0,1,0,0,0,0,[z],[z],[z]
Cars,MCLAREN,MCLAREN 540C,540C COUPE S-A,[x],2015,Licensed,1,1,1,1,1,1,0,0,0,[z]
Cars,MCLAREN,MCLAREN 540C,540C COUPE S-A,2020,2020,Licensed,1,1,0,1,[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 540C,540C COUPE S-A,2019,2019,Licensed,10,9,10,7,8,[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 540C,540C COUPE S-A,2019,2019,SORN,0,0,1,2,4,[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 540C,540C COUPE S-A,2018,2018,Licensed,7,7,7,9,8,10,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 540C,540C COUPE S-A,2018,2018,SORN,3,2,2,1,1,0,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 540C,540C COUPE S-A,2017,2017,Licensed,38,42,46,42,43,44,46,[z],[z],[z]
Cars,MCLAREN,MCLAREN 540C,540C COUPE S-A,2017,2017,SORN,4,3,2,4,4,3,0,[z],[z],[z]
Cars,MCLAREN,MCLAREN 540C,540C COUPE S-A,2017,2016,Licensed,2,1,1,1,1,2,2,[z],[z],[z]
Cars,MCLAREN,MCLAREN 540C,540C COUPE S-A,2016,2016,Licensed,12,11,15,16,16,15,16,21,[z],[z]
Cars,MCLAREN,MCLAREN 540C,540C COUPE S-A,2016,2016,SORN,10,10,5,5,5,4,5,1,[z],[z]
Cars,MCLAREN,MCLAREN 540C,540C COUPE S-A,2015,2015,Licensed,1,1,0,1,1,1,1,1,1,[z]
Cars,MCLAREN,MCLAREN 570GT,570GT COUPE S-A,2020,2020,Licensed,6,3,6,6,[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 570GT,570GT COUPE S-A,2019,2019,Licensed,48,46,48,52,54,[z],[z],[z],[z],[z]
