BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,LicenceStatus,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cars,FIAT,FIAT PUNTO,G PUNTO SPORTING MULTIJET,[x],2008,Licensed,0,1,1,1,0,1,1,1,1,1
Cars,FIAT,FIAT PUNTO,G PUNTO SPORTING MULTIJET,2010,2010,Licensed,14,19,22,23,25,26,28,29,29,30
Cars,FIAT,FIAT PUNTO,G PUNTO SPORTING MULTIJET,2010,2010,SORN,4,4,2,2,0,1,2,0,0,0
Cars,FIAT,FIAT PUNTO,G PUNTO SPORTING MULTIJET,2009,2009,Licensed,73,95,106,140,149,164,177,187,187,193
Cars,FIAT,FIAT PUNTO,G PUNTO SPORTING MULTIJET,2009,2009,SORN,20,17,16,10,10,5,6,4,2,1
Cars,FIAT,FIAT PUNTO,G PUNTO SPORTING MULTIJET,2008,2008,Licensed,22,27,31,44,46,57,64,64,71,72
Cars,FIAT,FIAT PUNTO,G PUNTO SPORTING MULTIJET,2008,2008,SORN,10,12,11,7,10,4,3,4,0,0
Cars,FIAT,FIAT PUNTO,GRAND PUNTO ACTIVE 360,[x],2008,Licensed,1,1,1,1,1,1,1,1,1,1
Cars,FIAT,FIAT PUNTO,GRAND PUNTO ACTIVE 360,[x],2007,Licensed,1,1,2,2,3,4,5,4,5,5
Cars,FIAT,FIAT PUNTO,GRAND PUNTO ACTIVE 360,[x],2007,SORN,1,2,1,1,0,0,0,1,0,0
Cars,FIAT,FIAT PUNTO,GRAND PUNTO ACTIVE 360,2009,2009,Licensed,1,0,1,1,1,1,1,0,1,1
Cars,FIAT,FIAT PUNTO,GRAND PUNTO ACTIVE 360,2009,2009,SORN,0,1,0,0,0,0,0,0,0,0
Cars,FIAT,FIAT PUNTO,GRAND PUNTO ACTIVE 360,2008,2008,Licensed,158,186,227,262,290,325,350,356,377,385
Cars,FIAT,FIAT PUNTO,GRAND PUNTO ACTIVE 360,2008,2008,SORN,24,22,20,20,21,21,17,10,6,5
Cars,FIAT,FIAT PUNTO,GRAND PUNTO ACTIVE 360,2007,2007,Licensed,64,77,84,114,132,141,159,163,172,169
Cars,FIAT,FIAT PUNTO,GRAND PUNTO ACTIVE 360,2007,2007,SORN,12,12,13,10,7,8,6,6,5,3
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE 65,[x],2009,Licensed,0,0,0,0,0,0,0,1,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE 65,[x],2008,Licensed,3,2,5,4,5,4,8,8,8,8
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE 65,[x],2008,SORN,0,0,0,0,0,1,0,0,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE 65,[x],2007,Licensed,20,30,34,44,52,57,67,65,68,70
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE 65,[x],2007,SORN,4,0,1,4,1,2,1,2,3,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE 65,[x],2006,Licensed,0,0,0,0,0,0,0,1,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE 65,2009,2009,Licensed,247,288,327,373,403,425,427,463,469,477
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE 65,2009,2009,SORN,28,25,27,22,11,12,16,6,3,3
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE 65,2008,2008,Licensed,220,276,308,339,379,419,441,463,469,484
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE 65,2008,2008,SORN,28,23,24,22,22,25,18,12,8,4
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE 65,2007,2007,Licensed,0,0,0,1,1,1,1,1,1,1
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE 65,2007,2007,SORN,1,1,1,0,0,0,0,0,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE 77,[x],2009,Licensed,6,6,6,7,7,7,7,7,7,7
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE 77,[x],2009,SORN,1,0,0,0,0,0,0,0,0,0
Cars,FIAT,FIAT PUNTO,GRANDE PUNTO ACTIVE 77,[x],2008,Licensed,1,1,1,1,1,1,0,1,1,1
